Year,Value,Observation status,Unit multiplier,Unit measure
2000,6.55,Estimate,Units,"Rate per 1,000 live births"
2001,6.44,Estimate,Units,"Rate per 1,000 live births"
2002,6.19,Estimate,Units,"Rate per 1,000 live births"
2003,6.25,Estimate,Units,"Rate per 1,000 live births"
2004,5.86,Estimate,Units,"Rate per 1,000 live births"
2005,5.9,Estimate,Units,"Rate per 1,000 live births"
2006,5.75,Estimate,Units,"Rate per 1,000 live births"
2007,5.55,Estimate,Units,"Rate per 1,000 live births"
2008,5.32,Estimate,Units,"Rate per 1,000 live births"
2009,5.18,Estimate,Units,"Rate per 1,000 live births"
2010,4.9,Estimate,Units,"Rate per 1,000 live births"
2011,4.81,Estimate,Units,"Rate per 1,000 live births"
2012,4.58,Estimate,Units,"Rate per 1,000 live births"
2013,4.47,Estimate,Units,"Rate per 1,000 live births"
2014,4.23,Estimate,Units,"Rate per 1,000 live births"
2015,4.29,Estimate,Units,"Rate per 1,000 live births"
