Year,Observation status,Unit multiplier,Unit measure,Value
2009,Undefined,Thousands,GBP (£),820643
2010,Undefined,Thousands,GBP (£),784772
2011,Undefined,Thousands,GBP (£),843898
2012,Undefined,Thousands,GBP (£),959304
2013,Undefined,Thousands,GBP (£),912792
2014,Undefined,Thousands,GBP (£),1045836
2015,Undefined,Thousands,GBP (£),1462161
2016,Undefined,Thousands,GBP (£),1382059
2017,Undefined,Thousands,GBP (£),1490295
