Year,AGE,Observation status,Unit multiplier,Unit measure,Value
1995,5 to 9,Estimate,Units,Index,0.621339529
1996,5 to 9,Estimate,Units,Index,0.618122041
1997,5 to 9,Estimate,Units,Index,0.771004329
1998,5 to 9,Estimate,Units,Index,0.642354525
1999,5 to 9,Estimate,Units,Index,0.661509318
2000,5 to 9,Estimate,Units,Index,0.807328308
2001,5 to 9,Estimate,Units,Index,1.160329875
2002,5 to 9,Estimate,Units,Index,0.612295899
2003,5 to 9,Estimate,Units,Index,0.651699079
2004,5 to 9,Estimate,Units,Index,0.715937118
2005,5 to 9,Estimate,Units,Index,0.72976889
2006,5 to 9,Estimate,Units,Index,0.757564928
2007,5 to 9,Estimate,Units,Index,0.718703495
2008,5 to 9,Estimate,Units,Index,0.535228358
2009,5 to 9,Estimate,Units,Index,0.518150611
2010,5 to 9,Estimate,Units,Index,0.536094536
2011,5 to 9,Estimate,Units,Index,0.50327236
2012,5 to 9,Estimate,Units,Index,0.474469137
2013,5 to 9,Estimate,Units,Index,0.46991294
2014,5 to 9,Estimate,Units,Index,0.411589099
2015,5 to 9,Estimate,Units,Index,0.394219747
2016,5 to 9,Estimate,Units,Index,0.42010518
2017,5 to 9,Estimate,Units,Index,0.403549033
2018,5 to 9,Estimate,Units,Index,0.422870274
