Year,Country,Sex,Observation status,Unit multiplier,Unit measure,Value
2000,,,Undefined,Units,"Rate per 1,000 live births",6.55
2001,,,Undefined,Units,"Rate per 1,000 live births",6.44
2002,,,Undefined,Units,"Rate per 1,000 live births",6.19
2003,,,Undefined,Units,"Rate per 1,000 live births",6.25
2004,,,Undefined,Units,"Rate per 1,000 live births",5.86
2005,,,Undefined,Units,"Rate per 1,000 live births",5.9
2006,,,Undefined,Units,"Rate per 1,000 live births",5.75
2007,,,Undefined,Units,"Rate per 1,000 live births",5.55
2008,,,Undefined,Units,"Rate per 1,000 live births",5.32
2009,,,Undefined,Units,"Rate per 1,000 live births",5.18
2010,,,Undefined,Units,"Rate per 1,000 live births",4.9
2011,,,Undefined,Units,"Rate per 1,000 live births",4.81
2012,,,Undefined,Units,"Rate per 1,000 live births",4.58
2013,,,Undefined,Units,"Rate per 1,000 live births",4.47
2014,,,Undefined,Units,"Rate per 1,000 live births",4.23
2015,,,Undefined,Units,"Rate per 1,000 live births",4.29
2000,,Male,Undefined,Units,"Rate per 1,000 live births",7.19
2000,,Female,Undefined,Units,"Rate per 1,000 live births",5.88
2001,,Male,Undefined,Units,"Rate per 1,000 live births",6.97
2001,,Female,Undefined,Units,"Rate per 1,000 live births",5.88
2002,,Male,Undefined,Units,"Rate per 1,000 live births",6.99
2002,,Female,Undefined,Units,"Rate per 1,000 live births",5.35
2003,,Male,Undefined,Units,"Rate per 1,000 live births",6.67
2003,,Female,Undefined,Units,"Rate per 1,000 live births",5.81
2004,,Male,Undefined,Units,"Rate per 1,000 live births",6.38
2004,,Female,Undefined,Units,"Rate per 1,000 live births",5.3
2005,,Male,Undefined,Units,"Rate per 1,000 live births",6.58
2005,,Female,Undefined,Units,"Rate per 1,000 live births",5.18
2006,,Male,Undefined,Units,"Rate per 1,000 live births",6.23
2006,,Female,Undefined,Units,"Rate per 1,000 live births",5.25
2007,,Male,Undefined,Units,"Rate per 1,000 live births",6.15
2007,,Female,Undefined,Units,"Rate per 1,000 live births",4.92
2008,,Male,Undefined,Units,"Rate per 1,000 live births",5.79
2008,,Female,Undefined,Units,"Rate per 1,000 live births",4.83
2009,,Male,Undefined,Units,"Rate per 1,000 live births",5.55
2009,,Female,Undefined,Units,"Rate per 1,000 live births",4.78
2010,,Male,Undefined,Units,"Rate per 1,000 live births",5.27
2010,,Female,Undefined,Units,"Rate per 1,000 live births",4.51
2011,,Male,Undefined,Units,"Rate per 1,000 live births",5.43
2011,,Female,Undefined,Units,"Rate per 1,000 live births",4.15
2012,,Male,Undefined,Units,"Rate per 1,000 live births",5.05
2012,,Female,Undefined,Units,"Rate per 1,000 live births",4.08
2013,,Male,Undefined,Units,"Rate per 1,000 live births",4.86
2013,,Female,Undefined,Units,"Rate per 1,000 live births",4.05
2014,,Male,Undefined,Units,"Rate per 1,000 live births",4.56
2014,,Female,Undefined,Units,"Rate per 1,000 live births",3.88
2015,,Male,Undefined,Units,"Rate per 1,000 live births",4.85
2015,,Female,Undefined,Units,"Rate per 1,000 live births",3.7
2016,,,Undefined,Units,"Rate per 1,000 live births",4.415133545
2016,,Male,Undefined,Units,"Rate per 1,000 live births",4.68183864
2016,,Female,Undefined,Units,"Rate per 1,000 live births",4.133874971
